,X,Y,Z,grade,borehole
2055,428.94000000000005,75.0,-816.3199999999999,0.7954907654950722,70.0
2070,428.94000000000005,75.0,-417.91999999999996,0.8466906427135722,70.0
2085,269.26000000000005,1725.0,-1214.72,0.6367331291501811,71.0
2100,269.26000000000005,1725.0,-816.3199999999999,0.6094403782349955,71.0
2115,269.26000000000005,1725.0,-417.91999999999996,0.6179758924558232,71.0
2130,149.5,2025.0,-869.44,0.5451876915170916,72.0
2145,468.86,1425.0,-922.56,0.6663788486151943,73.0
2160,468.86,1425.0,-524.16,0.6631152101323603,73.0
2175,468.86,1425.0,-125.75999999999999,0.6683503005331615,73.0
2190,349.1,175.0,-710.0799999999999,0.7929679353244907,74.0
2205,349.1,175.0,-311.67999999999995,0.8099747036583459,74.0
2220,808.1800000000001,775.0,-497.5999999999999,0.690154964431075,75.0
2235,89.62000000000002,1625.0,-1214.72,0.6543070024901021,76.0
2250,89.62000000000002,1625.0,-816.3199999999999,0.6410102515990163,76.0
2265,169.46000000000004,925.0,-896.0,0.6849378711626984,77.0
2280,588.62,825.0,-975.6800000000001,0.6868340001555431,78.0
2295,588.62,825.0,-577.28,0.6897589971567715,78.0
2310,588.62,825.0,-178.87999999999988,0.6904685650793071,78.0
2325,269.26000000000005,1275.0,-949.12,0.6746109883901105,79.0
2340,269.26000000000005,1275.0,-550.72,0.6740211131371716,79.0
2355,508.7800000000001,2375.0,-683.52,0.6383316733960509,80.0
2370,508.7800000000001,2375.0,-285.1199999999999,0.6378600433538748,80.0
2385,289.22,225.0,-842.88,0.7462955917622373,81.0
2400,289.22,225.0,-444.48,0.7878538328992368,81.0
2415,269.26000000000005,2075.0,-1108.48,0.5644136535325642,82.0
2430,269.26000000000005,2075.0,-710.0799999999999,0.5507590965407727,82.0
2445,329.14000000000004,425.0,-1028.8,0.7015008182942936,83.0
2460,329.14000000000004,425.0,-630.4,0.7271435029389623,83.0
2475,329.14000000000004,425.0,-232.0,0.7302418831010874,83.0
2490,768.2600000000001,775.0,-444.48,0.6908644263981879,84.0
2505,588.62,175.0,-1108.48,0.705194621962703,85.0
2520,588.62,175.0,-710.0799999999999,0.7624422616663183,85.0
2535,588.62,175.0,-311.67999999999995,0.7978353207197929,85.0
2550,9.780000000000015,1475.0,-1081.92,0.6666350030054872,86.0
2565,508.7800000000001,875.0,-922.56,0.6862428224280647,87.0
2580,508.7800000000001,875.0,-524.16,0.6884389197221777,87.0
2595,508.7800000000001,875.0,-125.75999999999999,0.6886478091717302,87.0
2610,349.1,2025.0,-896.0,0.5486724889927006,88.0
2625,349.1,2025.0,-497.5999999999999,0.5400634638958598,88.0
2640,488.82000000000005,475.0,-1081.92,0.6958619820465812,89.0
2655,488.82000000000005,475.0,-683.52,0.7154452529964175,89.0
2670,488.82000000000005,475.0,-285.1199999999999,0.7235658708650139,89.0
2685,508.7800000000001,2475.0,-816.3199999999999,0.6557341217678264,90.0
2700,508.7800000000001,2475.0,-417.91999999999996,0.6522204752196323,90.0
2715,708.3800000000001,125.0,-975.6800000000001,0.712738180887277,91.0
2730,708.3800000000001,125.0,-577.28,0.7563197705624869,91.0
2745,708.3800000000001,125.0,-178.87999999999988,0.8077195902351186,91.0
2760,189.42000000000002,1375.0,-896.0,0.6684283436785573,92.0
2775,69.66000000000001,1875.0,-1188.16,0.6092063195683248,93.0
2790,69.66000000000001,1875.0,-789.76,0.587814966294622,93.0
2805,428.94000000000005,2075.0,-656.96,0.5514054614952821,94.0
2820,428.94000000000005,2075.0,-258.55999999999995,0.5547947900500816,94.0
2835,289.22,925.0,-975.6800000000001,0.6848006359136347,95.0
2850,289.22,925.0,-577.28,0.6864452460797247,95.0
2865,428.94000000000005,1375.0,-975.6800000000001,0.6700866883258004,96.0
2880,428.94000000000005,1375.0,-577.28,0.6671405255502681,96.0
2895,428.94000000000005,1375.0,-178.87999999999988,0.6707795161349486,96.0
2910,828.1400000000001,25.0,-524.16,0.7408041448889244,97.0
2925,329.14000000000004,2175.0,-1188.16,0.6170976291472983,98.0
2940,329.14000000000004,2175.0,-789.76,0.5791604205783266,98.0
2955,329.14000000000004,2175.0,-391.3599999999999,0.5864603307793252,98.0
2970,488.82000000000005,75.0,-816.3199999999999,0.7845464847480795,99.0
2985,488.82000000000005,75.0,-417.91999999999996,0.8395204729587316,99.0
3000,-50.099999999999994,2075.0,-1214.72,0.6324092447489882,100.0
