,X,Y,Z,grade,formation,borehole
103,286.0,1581.0,-242.2,2.0650997064553973,5,16
104,286.0,1581.0,-230.6,2.0653061807706745,5,16
105,286.0,1581.0,-219.0,2.0655274651398345,5,16
106,286.0,1581.0,-207.39999999999998,2.065763106441224,5,16
107,286.0,1581.0,-195.8,2.0660120730426668,5,16
108,374.0,2945.0,-149.39999999999998,2.062235378320589,5,17
109,374.0,2945.0,-137.8,2.062229457964468,5,17
110,374.0,2945.0,-126.19999999999999,2.0622228200041697,5,17
111,374.0,2945.0,-114.60000000000002,2.062215553577067,5,17
112,374.0,2945.0,-103.0,2.0622077422822764,5,17
113,374.0,2945.0,-91.39999999999998,2.0621994642164987,5,17
114,374.0,2945.0,-79.80000000000001,2.0621907920552305,5,17
115,374.0,2945.0,-68.19999999999999,2.0621817931719546,5,17
116,330.0,2759.0,-91.39999999999998,2.062061623553249,5,18
117,330.0,2759.0,-79.80000000000001,2.0620586823367786,5,18
118,374.0,1643.0,-277.0,2.0641193770262647,5,19
119,374.0,1643.0,-265.4,2.0641865160198702,5,19
120,374.0,1643.0,-253.79999999999998,2.0642586672469174,5,19
121,374.0,1643.0,-242.2,2.0643360717337678,5,19
122,374.0,1643.0,-230.6,2.0644186655639083,5,19
123,374.0,1643.0,-219.0,2.0645059783970527,5,19
124,330.0,1333.0,-288.6,2.0640363734158034,5,20
125,330.0,1333.0,-277.0,2.064119482148059,5,20
126,330.0,1333.0,-265.4,2.064206877186802,5,20
127,330.0,1333.0,-253.79999999999998,2.064298498661016,5,20
128,330.0,1333.0,-242.2,2.064394105426554,5,20
129,330.0,1333.0,-230.6,2.064493231979972,5,20
130,330.0,1333.0,-219.0,2.0645951457326372,5,20
131,330.0,1333.0,-207.39999999999998,2.0646988075768564,5,20
132,418.0,899.0,-253.79999999999998,2.062461401183659,5,21
133,418.0,899.0,-242.2,2.0624675542278177,5,21
134,418.0,899.0,-230.6,2.0624730195831384,5,21
135,418.0,899.0,-219.0,2.062477766014244,5,21
136,418.0,1891.0,-242.2,2.0635235309407456,5,22
137,418.0,1891.0,-230.6,2.0635459733381243,5,22
138,418.0,899.0,-253.79999999999998,2.062461401183659,5,23
139,418.0,899.0,-242.2,2.0624675542278177,5,23
140,418.0,899.0,-230.6,2.0624730195831384,5,23
141,418.0,899.0,-219.0,2.062477766014244,5,23
142,374.0,2387.0,-149.39999999999998,2.062049467560774,5,24
143,374.0,2387.0,-137.8,2.0620521259741817,5,24
144,374.0,2387.0,-126.19999999999999,2.0620543427104896,5,24
