,X,Y,Z,grade,borehole
250,418.0,1767.0,-114.60000000000002,2.429020582599521,26.0
255,550.0,2077.0,-207.39999999999998,2.589749065276861,27.0
260,550.0,2077.0,-149.39999999999998,2.588223733383717,27.0
265,550.0,2077.0,-91.39999999999998,2.5879211829295015,27.0
270,990.0,1147.0,-195.8,2.637689787894155,28.0
275,902.0,1891.0,-219.0,2.6068721518887057,29.0
280,902.0,1891.0,-161.0,2.6051282878311297,29.0
285,1078.0,2635.0,-195.8,2.6066979188619763,30.0
290,1078.0,2635.0,-137.8,2.6130970728099587,30.0
295,1078.0,2635.0,-79.80000000000001,2.6183434046120224,30.0
300,550.0,899.0,-207.39999999999998,2.5922656230396304,31.0
305,550.0,899.0,-149.39999999999998,2.590345989335664,31.0
310,638.0,31.0,-230.6,2.4293018115100566,32.0
315,638.0,31.0,-172.60000000000002,2.3776153082662543,32.0
320,506.0,155.0,-253.79999999999998,2.5317952527743075,33.0
325,1474.0,279.0,-242.2,2.7319771684061616,34.0
330,1474.0,279.0,-184.2,2.737402136059355,34.0
335,418.0,713.0,-195.8,2.609429683402352,35.0
340,286.0,1023.0,-195.8,2.573790159198844,36.0
345,418.0,1023.0,-265.4,2.568818240643311,37.0
350,418.0,1023.0,-207.39999999999998,2.5629797103985985,37.0
355,418.0,1023.0,-149.39999999999998,2.5589693410206547,37.0
360,1474.0,2821.0,-219.0,2.6780177301840835,38.0
365,1474.0,2821.0,-161.0,2.667244756641848,38.0
370,1606.0,2759.0,-230.6,2.6904874399502305,39.0
375,1606.0,2759.0,-172.60000000000002,2.677755980267449,39.0
380,1298.0,2883.0,-172.60000000000002,2.636411183713999,40.0
385,1298.0,2883.0,-114.60000000000002,2.635818309647307,40.0
390,374.0,1891.0,-230.6,2.5378232449076794,41.0
395,374.0,1891.0,-172.60000000000002,2.5299785845737395,41.0
400,374.0,1891.0,-114.60000000000002,2.5254278014900793,41.0
405,1650.0,2449.0,-253.79999999999998,2.661798509251323,42.0
410,1650.0,2449.0,-195.8,2.6584057560851546,42.0
415,1738.0,217.0,-265.4,2.8275237521446606,43.0
420,1738.0,217.0,-207.39999999999998,2.8467306649568034,43.0
425,506.0,2015.0,-172.60000000000002,2.5720273725385336,44.0
430,506.0,2015.0,-114.60000000000002,2.5704025908891026,44.0
435,1562.0,2635.0,-253.79999999999998,2.6751800863413457,45.0
440,1562.0,2635.0,-195.8,2.6673209018997204,45.0
445,1034.0,2325.0,-207.39999999999998,2.6281851462290673,46.0
450,1034.0,2325.0,-149.39999999999998,2.629601612328692,46.0
455,1034.0,2325.0,-91.39999999999998,2.630847489469577,46.0
460,726.0,713.0,-195.8,2.6093433437609206,47.0
465,726.0,713.0,-137.8,2.608046633099799,47.0
470,2134.0,2635.0,-335.0,2.663133178512405,48.0
475,1606.0,2387.0,-253.79999999999998,2.6585183703754396,49.0
480,1606.0,2387.0,-195.8,2.656236987122208,49.0
485,2134.0,2635.0,-335.0,2.663133178512405,50.0
490,682.0,1705.0,-172.60000000000002,2.4207756043328343,51.0
495,682.0,1705.0,-114.60000000000002,2.4148618284396473,51.0
500,330.0,1085.0,-195.8,2.548486794272404,52.0
505,330.0,1085.0,-137.8,2.5435516199220274,52.0
510,506.0,2263.0,-161.0,2.6125022182782973,53.0
515,506.0,2263.0,-103.0,2.613046147880525,53.0
520,946.0,1271.0,-230.6,2.604519414812089,54.0
525,946.0,1271.0,-172.60000000000002,2.6006874141144984,54.0
530,682.0,3069.0,-126.19999999999999,2.5861338653262367,55.0
535,682.0,3069.0,-68.19999999999999,2.5981028441671987,55.0
540,858.0,2945.0,-114.60000000000002,2.578997014781511,56.0
545,858.0,2945.0,-56.60000000000002,2.593933554936484,56.0
550,550.0,1953.0,-184.2,2.552290389597576,57.0
555,550.0,1953.0,-126.19999999999999,2.5493007780457297,57.0
560,2002.0,2573.0,-346.6,2.6697264201531943,58.0
565,2002.0,2573.0,-288.6,2.665216259137082,58.0
570,462.0,1209.0,-230.6,2.4698724249755175,59.0
575,462.0,1209.0,-172.60000000000002,2.4531243172038293,59.0
580,462.0,1209.0,-114.60000000000002,2.4435001810582784,59.0
585,418.0,3069.0,-137.8,2.611297851939119,60.0
590,418.0,3069.0,-79.80000000000001,2.6160441747342076,60.0
595,1078.0,279.0,-184.2,2.5837802850464175,61.0
600,1078.0,2449.0,-207.39999999999998,2.6229682756208237,62.0
605,1078.0,2449.0,-149.39999999999998,2.62554251553558,62.0
610,1078.0,2449.0,-91.39999999999998,2.627776151329313,62.0
615,1826.0,2325.0,-253.79999999999998,2.6565710499155686,63.0
620,946.0,1767.0,-230.6,2.610690408941082,65.0
625,946.0,1767.0,-172.60000000000002,2.60789637572306,65.0
630,1386.0,2387.0,-242.2,2.6488812020805907,66.0
635,1386.0,2387.0,-184.2,2.6479953153925275,66.0
640,1430.0,341.0,-219.0,2.7003899140883534,67.0
645,462.0,2263.0,-195.8,2.6127619614869486,68.0
650,462.0,2263.0,-137.8,2.6129990538350953,68.0
655,462.0,2263.0,-79.80000000000001,2.613583988559701,68.0
660,1518.0,2387.0,-230.6,2.6551979214374977,69.0
665,1518.0,2387.0,-172.60000000000002,2.653341387961998,69.0
670,1914.0,217.0,-242.2,2.825693631393356,70.0
675,946.0,1085.0,-219.0,2.623154495923841,71.0
680,946.0,1085.0,-161.0,2.621873298781435,71.0
685,1782.0,279.0,-265.4,2.787367613787243,72.0
690,1782.0,279.0,-207.39999999999998,2.7997393733000737,72.0
695,946.0,465.0,-161.0,2.5907814757741363,73.0
700,462.0,1023.0,-242.2,2.5646096077641096,74.0
705,462.0,1023.0,-184.2,2.5593571414368914,74.0
710,462.0,1023.0,-126.19999999999999,2.5562450675128097,74.0
715,1210.0,155.0,-161.0,2.631714308528542,75.0
720,1078.0,1891.0,-195.8,2.6689174912273037,76.0
725,1078.0,1891.0,-137.8,2.6686883320520116,76.0
730,1386.0,2697.0,-195.8,2.6520080163948725,77.0
735,1386.0,2697.0,-137.8,2.6482523556009343,77.0
740,1342.0,341.0,-184.2,2.675163414547726,78.0
745,946.0,2325.0,-149.39999999999998,2.6247283446436223,79.0
750,946.0,2325.0,-91.39999999999998,2.6262608028461227,79.0
755,1078.0,1147.0,-184.2,2.676537407751595,80.0
760,726.0,2449.0,-149.39999999999998,2.6143452445668665,81.0
765,726.0,2449.0,-91.39999999999998,2.617357653854751,81.0
770,550.0,527.0,-253.79999999999998,2.599609966926875,82.0
775,550.0,527.0,-195.8,2.5962707778826406,82.0
780,1518.0,3007.0,-242.2,2.702718352367006,83.0
785,1518.0,3007.0,-184.2,2.6847438252801767,83.0
790,1694.0,2387.0,-253.79999999999998,2.6594132311363414,84.0
795,1694.0,2387.0,-195.8,2.656952719311695,84.0
800,858.0,1581.0,-195.8,2.4778600196413416,85.0
805,1342.0,2139.0,-242.2,2.6636829731598675,86.0
810,1342.0,2139.0,-184.2,2.6638878742055296,86.0
815,1694.0,3007.0,-207.39999999999998,2.706439868143478,87.0
820,1694.0,3007.0,-149.39999999999998,2.6883107809764555,87.0
825,550.0,2573.0,-137.8,2.613816863130546,88.0
830,550.0,2573.0,-79.80000000000001,2.617270204542398,88.0
835,1122.0,1457.0,-219.0,2.9003527001351346,89.0
840,506.0,2139.0,-195.8,2.599730590934978,90.0
845,506.0,2139.0,-137.8,2.599034841732362,90.0
850,506.0,2139.0,-79.80000000000001,2.599172651145327,90.0
855,946.0,2635.0,-137.8,2.6037088404527755,91.0
860,946.0,2635.0,-79.80000000000001,2.6108774871421105,91.0
865,462.0,1333.0,-195.8,2.3396325369149036,92.0
870,462.0,1333.0,-137.8,2.3075262925403566,92.0
875,462.0,1333.0,-79.80000000000001,2.2942646702948855,92.0
880,814.0,2635.0,-137.8,2.601121607051321,93.0
885,814.0,2635.0,-79.80000000000001,2.608466878206488,93.0
890,594.0,2201.0,-195.8,2.608098893249949,94.0
895,594.0,2201.0,-137.8,2.6081517116278,94.0
900,594.0,2201.0,-79.80000000000001,2.6087062166653703,94.0
905,814.0,2201.0,-161.0,2.6176539969173263,95.0
910,814.0,2201.0,-103.0,2.6183162740298394,95.0
915,2090.0,3069.0,-404.6,2.701324328068872,96.0
920,2090.0,3069.0,-346.6,2.6911572666887,96.0
925,1122.0,1023.0,-207.39999999999998,2.6661181806155634,97.0
930,990.0,2263.0,-172.60000000000002,2.6289588355595193,98.0
935,990.0,2263.0,-114.60000000000002,2.6299156797347454,98.0
940,1782.0,2511.0,-288.6,2.669330629842694,99.0
945,1782.0,2511.0,-230.6,2.66444322538898,99.0
950,1386.0,279.0,-195.8,2.702360917620529,100.0
