,X,Y,Z,grade,formation,borehole
156,770.0,2325.0,-126.19999999999999,2.5413034310890965,5,18
157,682.0,713.0,-242.2,2.541254533150798,5,19
158,682.0,713.0,-230.6,2.541252283919396,5,19
159,682.0,713.0,-219.0,2.541250203740385,5,19
160,682.0,713.0,-207.39999999999998,2.5412482994578625,5,19
161,682.0,713.0,-195.8,2.5412465773303246,5,19
162,682.0,713.0,-184.2,2.541245042988756,5,19
163,682.0,713.0,-172.60000000000002,2.5412437013990172,5,19
164,682.0,713.0,-161.0,2.5412425568288977,5,19
165,550.0,1705.0,-195.8,2.5385533866827883,5,20
166,550.0,1705.0,-184.2,2.538524379404563,5,20
167,550.0,1705.0,-172.60000000000002,2.538500919896631,5,20
168,550.0,1705.0,-161.0,2.5384831764999487,5,20
169,550.0,1705.0,-149.39999999999998,2.5384712725565315,5,20
170,550.0,1705.0,-137.8,2.5384652844536872,5,20
171,550.0,1705.0,-126.19999999999999,2.5384652404873194,5,20
172,550.0,1705.0,-114.60000000000002,2.5384711205759483,5,20
173,550.0,1705.0,-103.0,2.5384828568300404,5,20
174,550.0,1705.0,-91.39999999999998,2.5385003349553577,5,20
175,902.0,2263.0,-195.8,2.541350599976741,5,21
176,594.0,1705.0,-184.2,2.537963291774054,5,22
177,594.0,1705.0,-172.60000000000002,2.537932146430023,5,22
178,594.0,1705.0,-161.0,2.537908606705828,5,22
179,594.0,1705.0,-149.39999999999998,2.5378928572505663,5,22
180,594.0,1705.0,-137.8,2.537885011487721,5,22
181,594.0,1705.0,-126.19999999999999,2.5378851096826436,5,22
182,594.0,1705.0,-114.60000000000002,2.537893118500276,5,22
183,462.0,1395.0,-219.0,2.53909032243217,5,23
184,462.0,1395.0,-207.39999999999998,2.5390617610530635,5,23
185,462.0,1395.0,-195.8,2.5390369661895855,5,23
186,462.0,1395.0,-184.2,2.5390160940505706,5,23
187,462.0,1395.0,-172.60000000000002,2.538999275982649,5,23
188,462.0,1395.0,-161.0,2.538986616663406,5,23
189,462.0,1395.0,-149.39999999999998,2.5389781926634654,5,23
190,462.0,1395.0,-137.8,2.538974051412401,5,23
191,462.0,1395.0,-126.19999999999999,2.5389742105936977,5,23
192,462.0,1395.0,-114.60000000000002,2.538978657982678,5,23
193,462.0,1395.0,-103.0,2.5389873517300723,5,23
194,462.0,1395.0,-91.39999999999998,2.5390002210824227,5,23
195,462.0,1395.0,-79.80000000000001,2.539017167519098,5,23
196,462.0,1395.0,-68.19999999999999,2.5390380662756393,5,23
197,814.0,589.0,-219.0,2.5413748505766383,5,24
198,814.0,589.0,-207.39999999999998,2.5413740008917607,5,24
199,814.0,589.0,-195.8,2.5413732076820135,5,24
200,814.0,2573.0,-172.60000000000002,2.5414135302659573,5,25
201,814.0,2573.0,-161.0,2.5414132999157455,5,25
202,814.0,2573.0,-149.39999999999998,2.5414130901277363,5,25
203,814.0,2573.0,-137.8,2.541412901359631,5,25
204,814.0,2573.0,-126.19999999999999,2.541412734010598,5,25
205,814.0,2573.0,-114.60000000000002,2.541412588419628,5,25
206,1694.0,3007.0,-242.2,2.5414433016931564,5,26
207,858.0,93.0,-161.0,2.5414365893651807,5,27
208,858.0,93.0,-149.39999999999998,2.5414365579560183,5,27
209,858.0,93.0,-137.8,2.5414365283784734,5,27
210,858.0,93.0,-126.19999999999999,2.5414365006796764,5,27
211,858.0,93.0,-114.60000000000002,2.5414364749028797,5,27
212,858.0,93.0,-103.0,2.5414364510873186,5,27
213,858.0,93.0,-91.39999999999998,2.541436429268105,5,27
214,858.0,93.0,-79.80000000000001,2.5414364094761344,5,27
215,462.0,2821.0,-137.8,2.541428408770377,5,28
216,462.0,2821.0,-126.19999999999999,2.541428389660845,5,28
217,462.0,2821.0,-114.60000000000002,2.5414283767917003,5,28
218,462.0,2821.0,-103.0,2.5414283701788136,5,28
219,462.0,2821.0,-91.39999999999998,2.5414283698261846,5,28
220,462.0,2821.0,-79.80000000000001,2.5414283757259555,5,28
221,462.0,2821.0,-68.19999999999999,2.5414283878584625,5,28
222,462.0,2821.0,-56.60000000000002,2.5414284061923307,5,28
223,462.0,2821.0,-45.0,2.5414284306846087,5,28
224,462.0,2821.0,-33.39999999999998,2.541428461280948,5,28
225,330.0,1643.0,-195.8,2.5402279655698243,5,29
226,330.0,1643.0,-184.2,2.540219895966124,5,29
227,330.0,1643.0,-172.60000000000002,2.540213377027096,5,29
228,330.0,1643.0,-161.0,2.540208438309316,5,29
229,330.0,1643.0,-149.39999999999998,2.540205101624709,5,29
230,330.0,1643.0,-137.8,2.5402033808346625,5,29
231,330.0,1643.0,-126.19999999999999,2.5402032817259754,5,29
232,418.0,1643.0,-219.0,2.5396341979821235,5,30
233,418.0,1643.0,-207.39999999999998,2.5396144799570184,5,30
234,418.0,1643.0,-195.8,2.539597367895271,5,30
235,418.0,1643.0,-184.2,2.5395829566942103,5,30
236,418.0,1643.0,-172.60000000000002,2.5395713260766337,5,30
237,418.0,1643.0,-161.0,2.539562539640447,5,30
238,418.0,1643.0,-149.39999999999998,2.539556644103045,5,30
239,418.0,1643.0,-137.8,2.539553668756529,5,30
