X,Y,Z,grade,borehole
1515.75,350.0,-323.03000000000003,0.4383839778547954,12
1515.75,350.0,-308.69,0.4388785751800338,12
1515.75,350.0,-294.35,0.4393589323212533,12
1515.75,350.0,-280.01,0.439819180378555,12
1515.75,350.0,-265.67,0.4402538772246219,12
1515.75,350.0,-251.33,0.4406581534712893,12
1515.75,350.0,-236.99,0.4410278271491031,12
1515.75,350.0,-222.65,0.4413594832282235,12
1515.75,350.0,-208.31,0.4416505172563551,12
990.29,730.0,-466.43000000000006,0.4344806014909792,13
990.29,730.0,-452.09,0.4344979246532773,13
990.29,730.0,-437.75,0.434515802426844,13
990.29,730.0,-423.41,0.4345341522850232,13
990.29,730.0,-409.0700000000001,0.434552883423914,13
990.29,730.0,-394.73,0.4345718971109256,13
990.29,730.0,-380.39,0.4345910871701789,13
990.29,730.0,-366.05,0.4346103406113174,13
990.29,730.0,-351.71000000000004,0.4346295384058163,13
990.29,730.0,-337.37,0.4346485564120351,13
990.29,730.0,-323.03000000000003,0.4346672664467819,13
990.29,730.0,-308.69,0.4346855374974125,13
990.29,730.0,-294.35,0.4347032370643278,13
990.29,730.0,-280.01,0.4347202326194026,13
990.29,730.0,-265.67,0.4347363931614676,13
990.29,730.0,-251.33,0.4347515908456634,13
990.29,730.0,-236.99,0.4347657026594631,13
990.29,730.0,-222.65,0.4347786121145975,13
990.29,730.0,-208.31,0.4347902109212838,13
990.29,730.0,-193.97,0.4348004006090711,13
990.29,730.0,-179.63,0.4348090940577089,13
626.5100000000001,970.0,-437.75,0.4345694182107373,14
626.5100000000001,970.0,-423.41,0.434576394705199,14
626.5100000000001,970.0,-409.0700000000001,0.4345834005324766,14
626.5100000000001,970.0,-394.73,0.4345903962371223,14
626.5100000000001,970.0,-380.39,0.4345973409859864,14
626.5100000000001,970.0,-366.05,0.4346041929039488,14
626.5100000000001,970.0,-351.71000000000004,0.4346109094385506,14
626.5100000000001,970.0,-337.37,0.4346174477495877,14
626.5100000000001,970.0,-323.03000000000003,0.4346237651190468,14
626.5100000000001,970.0,-308.69,0.4346298193761526,14
626.5100000000001,970.0,-294.35,0.4346355693317286,14
626.5100000000001,970.0,-280.01,0.4346409752156672,14
626.5100000000001,970.0,-265.67,0.4346459991109214,14
626.5100000000001,970.0,-251.33,0.4346506053772755,14
626.5100000000001,970.0,-236.99,0.4346547610580565,14
626.5100000000001,970.0,-222.65,0.4346584362630407,14
626.5100000000001,970.0,-208.31,0.4346616045210537,14
626.5100000000001,970.0,-193.97,0.434664243096136,14
626.5100000000001,970.0,-179.63,0.4346663332616954,14
1556.17,90.0,-523.7900000000001,0.4217758749574031,15
1556.17,90.0,-509.4500000000001,0.4208293843532359,15
1556.17,90.0,-495.11,0.419839507294924,15
1556.17,90.0,-480.77,0.4188548527545973,15
1556.17,90.0,-466.43000000000006,0.4179433604223891,15
1556.17,90.0,-452.09,0.4171906053131712,15
1556.17,90.0,-437.75,0.4166964075850755,15
1556.17,90.0,-423.41,0.4165702708376816,15
1556.17,90.0,-409.0700000000001,0.4169258855947432,15
1556.17,90.0,-394.73,0.4178751441822533,15
1556.17,90.0,-380.39,0.4195227351288938,15
1556.17,90.0,-366.05,0.421961813612825,15
1556.17,90.0,-351.71000000000004,0.4252680780794775,15
1556.17,90.0,-337.37,0.4294855684385183,15
1556.17,90.0,-323.03000000000003,0.4345978542681111,15
1556.17,90.0,-308.69,0.4404882856170342,15
1556.17,90.0,-294.35,0.4469111554608041,15
1556.17,90.0,-280.01,0.4535049405904608,15
1556.17,90.0,-265.67,0.4598566900468021,15
1556.17,90.0,-251.33,0.4655855674473857,15
1556.17,90.0,-236.99,0.4704033226970144,15
1556.17,90.0,-222.65,0.4741406755512119,15
1556.17,90.0,-208.31,0.4767509982131199,15
1556.17,90.0,-193.97,0.4782954226468971,15
1232.8100000000002,790.0,-495.11,0.4345362241577467,16
1232.8100000000002,790.0,-480.77,0.4345489328805091,16
1232.8100000000002,790.0,-466.43000000000006,0.4345619233185948,16
1232.8100000000002,790.0,-452.09,0.4345751456290531,16
1232.8100000000002,790.0,-437.75,0.4345885478444369,16
1232.8100000000002,790.0,-423.41,0.4346020762455823,16
1232.8100000000002,790.0,-409.0700000000001,0.4346156757488504,16
1232.8100000000002,790.0,-394.73,0.4346292903024231,16
1232.8100000000002,790.0,-380.39,0.4346428632864406,16
1232.8100000000002,790.0,-366.05,0.434656337912114,16
1232.8100000000002,790.0,-351.71000000000004,0.4346696576154178,16
1232.8100000000002,790.0,-337.37,0.4346827664415447,16
1232.8100000000002,790.0,-323.03000000000003,0.4346956094169444,16
1232.8100000000002,790.0,-308.69,0.4347081329064257,16
1232.8100000000002,790.0,-294.35,0.434720284953433,16
1232.8100000000002,790.0,-280.01,0.4347320156022113,16
1232.8100000000002,790.0,-265.67,0.4347432772010455,16
1232.8100000000002,790.0,-251.33,0.4347540246861427,16
1232.8100000000002,790.0,-236.99,0.4347642158459929,16
1232.8100000000002,790.0,-222.65,0.4347738115661269,16
990.29,370.0,-437.75,0.4333615646724935,17
990.29,370.0,-423.41,0.4334279262429079,17
990.29,370.0,-409.0700000000001,0.4335035514622483,17
990.29,370.0,-394.73,0.4335886642659297,17
990.29,370.0,-380.39,0.4336833543187599,17
990.29,370.0,-366.05,0.433787555684198,17
990.29,370.0,-351.71000000000004,0.4339010272905425,17
990.29,370.0,-337.37,0.4340233352689686,17
990.29,370.0,-323.03000000000003,0.4341538371333125,17
990.29,370.0,-308.69,0.4342916678833833,17
990.29,370.0,-294.35,0.4344357284706866,17
990.29,370.0,-280.01,0.4345846776280617,17
990.29,370.0,-265.67,0.4347369287222098,17
990.29,370.0,-251.33,0.4348906538753938,17
990.29,370.0,-236.99,0.4350437979335584,17
990.29,370.0,-222.65,0.4351941047715608,17
990.29,370.0,-208.31,0.4353391578275464,17
990.29,370.0,-193.97,0.4354764356533461,17
990.29,370.0,-179.63,0.435603381767085,17
990.29,370.0,-165.28999999999996,0.4357174864014521,17
990.29,370.0,-150.95,0.4358163761115498,17
990.29,370.0,-136.61,0.4358979058994411,17
990.29,370.0,-122.26999999999998,0.4359602477401019,17
990.29,370.0,-107.93,0.4360019692821558,17
990.29,370.0,-93.59000000000005,0.4360220970684036,17
990.29,370.0,-79.25,0.4360201597938067,17
1839.11,350.0,-609.83,0.4321406127425681,18
1839.11,350.0,-595.49,0.4322914648753378,18
1839.11,350.0,-581.1500000000001,0.4324778838976121,18
1839.11,350.0,-566.8100000000001,0.4327012847957683,18
1839.11,350.0,-552.47,0.4329624249128323,18
1839.11,350.0,-538.13,0.4332612921165372,18
1839.11,350.0,-523.7900000000001,0.4335970151914334,18
1839.11,350.0,-509.4500000000001,0.4339678062621027,18
1839.11,350.0,-495.11,0.4343709440367163,18
1839.11,350.0,-480.77,0.4348028044789986,18
1839.11,350.0,-466.43000000000006,0.4352589422047089,18
1839.11,350.0,-452.09,0.4357342216732361,18
1839.11,350.0,-437.75,0.4362229925060315,18
1839.11,350.0,-423.41,0.4367192985703752,18
1839.11,350.0,-409.0700000000001,0.4372171064591112,18
1839.11,350.0,-394.73,0.4377105362987705,18
1839.11,350.0,-380.39,0.4381940769208186,18
1839.11,350.0,-366.05,0.4386627685874353,18
1839.11,350.0,-351.71000000000004,0.4391123396287839,18
1839.11,350.0,-337.37,0.4395392881615598,18
1839.11,350.0,-323.03000000000003,0.4399409058973371,18
626.5100000000001,970.0,-437.75,0.4345694182107373,19
626.5100000000001,970.0,-423.41,0.434576394705199,19
626.5100000000001,970.0,-409.0700000000001,0.4345834005324766,19
626.5100000000001,970.0,-394.73,0.4345903962371223,19
626.5100000000001,970.0,-380.39,0.4345973409859864,19
626.5100000000001,970.0,-366.05,0.4346041929039488,19
626.5100000000001,970.0,-351.71000000000004,0.4346109094385506,19
626.5100000000001,970.0,-337.37,0.4346174477495877,19
626.5100000000001,970.0,-323.03000000000003,0.4346237651190468,19
626.5100000000001,970.0,-308.69,0.4346298193761526,19
626.5100000000001,970.0,-294.35,0.4346355693317286,19
