X,Y,Z,grade,formation
242.0,1829.0,-172.60000000000002,2.0634419916517373,5
242.0,1829.0,-161.0,2.063459009202687,5
242.0,1829.0,-149.39999999999998,2.063472804783758,5
242.0,1891.0,-172.60000000000002,2.0630825805133974,5
242.0,1891.0,-161.0,2.0630918937405687,5
242.0,1891.0,-149.39999999999998,2.06309901779047,5
242.0,1891.0,-137.8,2.063103849303895,5
242.0,1953.0,-161.0,2.0628100448864064,5
242.0,1953.0,-149.39999999999998,2.0628141034105454,5
242.0,1953.0,-137.8,2.062816607713917,5
242.0,1953.0,-126.19999999999999,2.0628175197404754,5
242.0,2015.0,-137.8,2.0625935167147706,5
242.0,2015.0,-126.19999999999999,2.062593989055951,5
242.0,2015.0,-114.60000000000002,2.062593353899003,5
242.0,2077.0,-126.19999999999999,2.0624189127941315,5
242.0,2077.0,-114.60000000000002,2.062418609452241,5
242.0,2139.0,-114.60000000000002,2.062281949551852,5
242.0,2139.0,-103.0,2.0622814691591933,5
242.0,2201.0,-103.0,2.0621761161409724,5
286.0,651.0,-184.2,2.061573316715569,5
286.0,713.0,-184.2,2.061757810075921,5
286.0,775.0,-195.8,2.0619322553831356,5
286.0,775.0,-184.2,2.061931191460459,5
286.0,775.0,-172.60000000000002,2.0619299845143915,5
286.0,837.0,-195.8,2.0621046362910027,5
286.0,837.0,-184.2,2.0621049528562474,5
286.0,837.0,-172.60000000000002,2.062104931208887,5
286.0,837.0,-161.0,2.062104567085952,5
286.0,899.0,-195.8,2.0622881922843876,5
286.0,899.0,-184.2,2.0622899176745646,5
286.0,899.0,-172.60000000000002,2.062291070365528,5
286.0,961.0,-207.39999999999998,2.0624885850632353,5
286.0,961.0,-195.8,2.0624928575205925,5
286.0,961.0,-184.2,2.062496284006377,5
286.0,961.0,-172.60000000000002,2.0624988348211786,5
286.0,1023.0,-207.39999999999998,2.0627210551693813,5
286.0,1023.0,-195.8,2.0627281047658124,5
286.0,1023.0,-184.2,2.0627339260969886,5
286.0,1023.0,-172.60000000000002,2.0627384624821747,5
286.0,1085.0,-219.0,2.0629793076036487,5
286.0,1085.0,-207.39999999999998,2.0629923270141477,5
286.0,1085.0,-195.8,2.063003724882207,5
286.0,1085.0,-184.2,2.063013383664273,5
286.0,1147.0,-230.6,2.06326905374545,5
286.0,1147.0,-219.0,2.063292082465173,5
286.0,1147.0,-207.39999999999998,2.063313175278905,5
286.0,1147.0,-195.8,2.0633321005411434,5
286.0,1147.0,-184.2,2.06334862826892,5
286.0,1209.0,-230.6,2.0636264395617956,5
286.0,1209.0,-219.0,2.063664431160911,5
286.0,1209.0,-207.39999999999998,2.0637002081008955,5
286.0,1209.0,-195.8,2.063733325996909,5
286.0,1209.0,-184.2,2.063763323081396,5
286.0,1271.0,-242.2,2.063985396852123,5
286.0,1271.0,-230.6,2.0640517885717284,5
286.0,1271.0,-219.0,2.0641172439431403,5
286.0,1271.0,-207.39999999999998,2.064181034901562,5
286.0,1271.0,-195.8,2.0642423371177316,5
286.0,1271.0,-184.2,2.064300238684977,5
286.0,1333.0,-265.4,2.0642311874056376,5
286.0,1333.0,-253.79999999999998,2.064336050199491,5
286.0,1333.0,-242.2,2.0644447851989813,5
286.0,1333.0,-230.6,2.0645568235684424,5
286.0,1333.0,-219.0,2.0646713741211125,5
286.0,1333.0,-207.39999999999998,2.064787397376209,5
286.0,1333.0,-195.8,2.064903584786762,5
286.0,1333.0,-184.2,2.065018346037663,5
286.0,1395.0,-311.79999999999995,2.0640813788654917,5
286.0,1395.0,-300.2,2.0641975935147,5
286.0,1395.0,-288.6,2.064323053555532,5
286.0,1395.0,-277.0,2.0644584010028533,5
286.0,1395.0,-265.4,2.064604185054966,5
286.0,1395.0,-253.79999999999998,2.064760814053091,5
286.0,1395.0,-242.2,2.0649284985362293,5
286.0,1395.0,-230.6,2.065107185066226,5
286.0,1395.0,-219.0,2.0652964808222873,5
286.0,1395.0,-207.39999999999998,2.0654955695117616,5
286.0,1395.0,-195.8,2.065703120078846,5
286.0,1457.0,-335.0,2.0639862659738366,5
286.0,1457.0,-323.4,2.0641023555466975,5
286.0,1457.0,-311.79999999999995,2.0642295579592793,5
286.0,1457.0,-300.2,2.064369198575384,5
286.0,1457.0,-288.6,2.064522665364389,5
