X,Y,Z,grade,formation
330.0,1395.0,-167.3,2.0660276430382134,7
330.0,1395.0,-156.7,2.0662346544645858,7
330.0,1395.0,-146.10000000000002,2.0664395398776074,7
330.0,1395.0,-135.5,2.0666371282492535,7
330.0,1395.0,-124.89999999999998,2.066821212654656,7
330.0,1457.0,-177.89999999999998,2.0667269798682115,7
330.0,1457.0,-167.3,2.0671064679261697,7
330.0,1457.0,-156.7,2.067514690175049,7
330.0,1457.0,-146.10000000000002,2.067948944420754,7
330.0,1457.0,-135.5,2.068404254616219,7
330.0,1457.0,-124.89999999999998,2.0688725822589746,7
330.0,1457.0,-114.30000000000001,2.0693420005202596,7
330.0,1519.0,-167.3,2.067359373115758,7
330.0,1519.0,-156.7,2.067823700334816,7
330.0,1519.0,-146.10000000000002,2.0683250640219217,7
330.0,1519.0,-135.5,2.0688599179114937,7
330.0,1519.0,-124.89999999999998,2.0694213408870965,7
330.0,1519.0,-114.30000000000001,2.069997859726019,7
330.0,1519.0,-103.69999999999999,2.0705723093266544,7
330.0,1581.0,-177.89999999999998,2.0662017337637284,7
330.0,1581.0,-167.3,2.0664732931594023,7
330.0,1581.0,-156.7,2.0667552716786433,7
330.0,1581.0,-146.10000000000002,2.067043351769019,7
330.0,1581.0,-135.5,2.0673316258434733,7
330.0,1581.0,-124.89999999999998,2.0676123462602556,7
330.0,1581.0,-114.30000000000001,2.067875772485373,7
330.0,1643.0,-188.5,2.065144730878637,7
330.0,1643.0,-177.89999999999998,2.065270522472956,7
330.0,1643.0,-167.3,2.065394266485866,7
330.0,1643.0,-156.7,2.0655133765881035,7
330.0,1643.0,-146.10000000000002,2.0656248698935187,7
330.0,1643.0,-135.5,2.0657254121451367,7
330.0,1643.0,-124.89999999999998,2.0658114006849067,7
330.0,1705.0,-188.5,2.064503629535822,7
330.0,1705.0,-177.89999999999998,2.064560631595086,7
330.0,1705.0,-167.3,2.0646128276025766,7
330.0,1705.0,-156.7,2.064658998188584,7
330.0,1705.0,-146.10000000000002,2.06469788309697,7
330.0,1705.0,-135.5,2.0647282228402033,7
330.0,1705.0,-124.89999999999998,2.0647488078276135,7
330.0,1705.0,-114.30000000000001,2.064758533247587,7
330.0,1767.0,-188.5,2.0640157797004854,7
330.0,1767.0,-177.89999999999998,2.06404352178943,7
330.0,1767.0,-167.3,2.0640672372296858,7
330.0,1767.0,-156.7,2.064086419733841,7
330.0,1767.0,-146.10000000000002,2.0641005822022267,7
330.0,1767.0,-135.5,2.0641092731648816,7
330.0,1767.0,-124.89999999999998,2.0641120938738484,7
330.0,1767.0,-114.30000000000001,2.064108715224074,7
330.0,1829.0,-177.89999999999998,2.0636319065120023,7
330.0,1829.0,-167.3,2.063644254273935,7
330.0,1829.0,-156.7,2.0636534560504587,7
330.0,1829.0,-146.10000000000002,2.0636593155663676,7
330.0,1829.0,-135.5,2.063661661427183,7
330.0,1829.0,-124.89999999999998,2.063660352799922,7
330.0,1829.0,-114.30000000000001,2.0636552846590357,7
330.0,1829.0,-103.69999999999999,2.0636463923409707,7
330.0,1891.0,-167.3,2.0632915075518325,7
330.0,1891.0,-156.7,2.0632967290193287,7
330.0,1891.0,-146.10000000000002,2.0632996891629474,7
330.0,1891.0,-135.5,2.0633003173126516,7
330.0,1891.0,-124.89999999999998,2.06329855951441,7
330.0,1891.0,-114.30000000000001,2.063294380279604,7
330.0,1891.0,-103.69999999999999,2.063287764019661,7
330.0,1953.0,-156.7,2.062995894695634,7
330.0,1953.0,-146.10000000000002,2.0629978117643843,7
330.0,1953.0,-135.5,2.0629981361151106,7
330.0,1953.0,-124.89999999999998,2.062996845598587,7
330.0,1953.0,-114.30000000000001,2.0629939280508136,7
330.0,1953.0,-103.69999999999999,2.0629893817832388,7
330.0,2015.0,-146.10000000000002,2.0627460666368864,7
330.0,2015.0,-135.5,2.062746522630438,7
330.0,2015.0,-124.89999999999998,2.0627458559712353,7
330.0,2015.0,-114.30000000000001,2.0627440628729024,7
330.0,2015.0,-103.69999999999999,2.0627411453992943,7
330.0,2015.0,-93.10000000000002,2.062737111569468,7
330.0,2077.0,-135.5,2.06254076010002,7
330.0,2077.0,-124.89999999999998,2.062540679743601,7
330.0,2077.0,-114.30000000000001,2.062539798417111,7
330.0,2077.0,-103.69999999999999,2.0625381190435776,7
330.0,2077.0,-93.10000000000002,2.062535648007844,7
330.0,2139.0,-114.30000000000001,2.062376409787951,7
330.0,2139.0,-103.69999999999999,2.0623756695336275,7
330.0,2139.0,-93.10000000000002,2.0623743495389433,7
330.0,2201.0,-103.69999999999999,2.0622488440120623,7
330.0,2201.0,-93.10000000000002,2.0622483760339074,7
330.0,2201.0,-82.5,2.0622474707611222,7
330.0,2263.0,-93.10000000000002,2.0621529052222125,7
330.0,2263.0,-82.5,2.062152707476148,7
330.0,2325.0,-82.5,2.062083821001294,7
374.0,589.0,-177.89999999999998,2.061303705766803,7
374.0,651.0,-177.89999999999998,2.061557991535811,7
374.0,651.0,-167.3,2.0615533955203147,7
