X,Y,Z,dip,azimuth,polarity,formation,section
535.042224,500,-1203.0000138,-60,90,1,alkalibasalt,12
547.711712,500,-1098.216093,-60,90,1,alkalibasalt,12
527.245616,500,-952.1231265,-60,90,1,alkalibasalt,12
508.728672,500,-788.9020191,-60,90,1,alkalibasalt,12
505.804944,500,-617.6206101,-60,90,1,alkalibasalt,12
514.576128,500,-524.9271417,-60,90,1,alkalibasalt,12
558.432048,500,-427.1959848,-40,90,1,alkalibasalt,12
610.084576,500,-365.7361851,0,90,1,alkalibasalt,12
683.177776,500,-396.9698538,20,90,1,alkalibasalt,12
786.482832,500,-369.7663359,40,90,1,alkalibasalt,12
955.08448,500,-423.165834,40,90,1,alkalibasalt,12
1048.643776,500,-491.6783976,40,90,1,alkalibasalt,12
1131.482736,500,-509.8140762,40,90,1,alkalibasalt,12
890.762464,500,-1191.9170991,-40,90,1,trachyandestictuff,12
889.787888,500,-1136.5025256,-40,90,1,trachyandestictuff,12
876.143824,500,-1063.9598112,-40,90,1,trachyandestictuff,12
871.270944,500,-993.4321722,-40,90,1,trachyandestictuff,12
871.270944,500,-904.7688546,-40,90,1,trachyandestictuff,12
897.584496,500,-852.3768942,-30,90,1,trachyandestictuff,12
966.779392,500,-880.5879498,10,90,1,trachyandestictuff,12
1015.508192,500,-934.9949856,30,90,1,trachyandestictuff,12
1054.491232,500,-970.2588051,30,90,1,trachyandestictuff,12
1094.448848,500,-1000.4849361,30,90,1,trachyandestictuff,12
1123.686128,500,-1019.6281524,30,90,1,trachyandestictuff,12
250,500,-1203,180,90,1,lstlens,12
300,500,-1203,180,90,1,lstlens,12
500,500,-1203,180,90,1,lstlens,12
600,500,-1203,180,90,1,lstlens,12
