,X,Y,Z,grade,borehole
3510,550.35,330.0,-694.2,0.1767108871586083,81.0
3525,550.35,330.0,-460.20000000000005,0.16940723527195178,81.0
3540,550.35,330.0,-226.20000000000005,0.14951837978077778,81.0
3555,843.87,1590.0,-694.2,0.1675642999896178,82.0
3570,843.87,1590.0,-460.20000000000005,0.15706501401695722,82.0
3585,843.87,1590.0,-226.20000000000005,0.14300522077860586,82.0
3600,770.49,2190.0,-647.4000000000001,0.11932908751132844,83.0
3615,770.49,2190.0,-413.40000000000003,0.11770809817783608,83.0
3630,770.49,2190.0,-179.39999999999998,0.10118351753668135,83.0
3645,525.89,2670.0,-631.8000000000001,0.11054039392947217,84.0
3660,525.89,2670.0,-397.8,0.162230063264358,84.0
3675,525.89,2670.0,-163.79999999999995,0.05680983856708129,84.0
3690,403.59000000000003,2670.0,-631.8000000000001,0.1018629832862351,85.0
3705,403.59000000000003,2670.0,-397.8,0.17093469695777347,85.0
3720,403.59000000000003,2670.0,-163.79999999999995,0.055951066249132965,85.0
3735,721.57,210.0,-647.4000000000001,0.1615648536923349,86.0
3750,721.57,210.0,-413.40000000000003,0.15494816903821793,86.0
3765,721.57,210.0,-179.39999999999998,0.14351568984811777,86.0
3780,770.49,2550.0,-631.8000000000001,0.10215333731250607,87.0
3795,770.49,2550.0,-397.8,0.06491302641879709,87.0
3810,770.49,2550.0,-163.79999999999995,0.05645482355275621,87.0
3825,12.23,1950.0,-538.2,0.12944041140168713,88.0
3840,12.23,1950.0,-304.2,0.12835575305411576,88.0
3855,12.23,690.0,-694.2,0.14954128606111264,89.0
3870,12.23,690.0,-460.20000000000005,0.1457259558914196,89.0
3885,12.23,690.0,-226.20000000000005,0.13946738857293342,89.0
3900,134.53,510.0,-647.4000000000001,0.169560507851362,90.0
3915,134.53,510.0,-413.40000000000003,0.1539263022189819,90.0
3930,134.53,510.0,-179.39999999999998,0.14156444153853198,90.0
3945,623.73,1710.0,-647.4000000000001,0.15252031556507434,91.0
3960,623.73,1710.0,-413.40000000000003,0.1504431649234524,91.0
3975,623.73,1710.0,-179.39999999999998,0.13981283379898646,91.0
3990,1161.8500000000001,1890.0,-647.4000000000001,0.13923856441647753,92.0
4005,1161.8500000000001,1890.0,-413.40000000000003,0.13428870349173108,92.0
4020,1161.8500000000001,1890.0,-179.39999999999998,0.13060917993522536,92.0
